,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,ONEOFFPURCHASES_TOTAL,TOTAL_OWED,PCT_PAID,Segment
0,0.0021477550445987,0.82,0.0019453677917648,0.0,0.00424,0.0,0.17,0.0,0.08,0.0,0.0,0.0055865921787709,0.0317195325542571,0.003978590530087,0.0018258987064009,0.0145063314092296,0.0019234747389699,0.0018148820326678,0
1,0.1681692199920811,0.91,0.0,0.0,0.0,0.1366850095709949,0.0,0.0,0.0,0.1666666666666666,0.032520325203252,0.0,0.2320534223706177,0.0808933414403522,0.0140347230938427,0.0145063314092296,0.1299041045015357,0.0,0
2,0.1310261858075926,1.0,0.0157662475425457,0.0189682602962372,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0335195530726257,0.2487479131886477,0.0122644291925235,0.008209803888977,0.0331994318353531,0.0155888151355283,0.0,4
3,0.0875207555056571,0.64,0.030567152199744,0.0367751234321813,0.0,0.0043657653900177,0.08,0.08,0.0,0.0533333333333333,0.008130081300813,0.0027932960893854,0.2487479131886477,0.0,0.0,0.0507479827132884,0.0343723322877211,0.0,2
4,0.0429398723109739,1.0,0.0003262671348871,0.000392529669723,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.0027932960893854,0.0383973288814691,0.0133736239557678,0.003203797178266,0.0148931669134757,0.000322595344062,0.0381125226860254,0
5,0.0950384232852355,1.0,0.0271878403501498,0.0,0.0592568888888888,0.0,0.67,0.0,0.58,0.0,0.0,0.0223463687150838,0.0584307178631051,0.0276029011771738,0.0315059469642585,0.0145063314092296,0.0268818700206904,0.0009074410163339,1
6,0.0329388955812959,1.0,0.1445977197597776,0.1570763899536937,0.0305946666666666,0.0,1.0,1.0,1.0,0.0,0.0,0.1787709497206704,0.4490818030050084,0.125278481621593,0.002592328555493,0.1693041191936897,0.1429704256685889,0.0,3
7,0.0957641439384471,1.0,0.0088948577648621,0.0,0.0193866666666666,0.0,1.0,0.0,1.0,0.0,0.0,0.0335195530726257,0.0751252086811352,0.0133882134354123,0.0069631774694753,0.0145063314092296,0.0087947555674915,0.0009074410163339,1
8,0.0532963576384986,1.0,0.017567242127123,0.0162284032015701,0.0088888888888888,0.0,0.33,0.08,0.25,0.0,0.0,0.0139664804469273,0.2320534223706177,0.0135697933104475,0.0040829142029162,0.0304993200157151,0.0173695414347508,0.0,0
9,0.0079939547784661,0.55,0.0261339975044642,0.0314416265448189,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.0083798882681564,0.3656093489148581,0.022964038115607,0.0013127205236328,0.0454918552993441,0.02583988705937,0.0,2
10,0.0679047678061496,1.0,0.0187628072595253,0.0,0.0408942222222222,0.0,1.0,0.0,1.0,0.0,0.0,0.0335195530726257,0.0383973288814691,0.0213578152687973,0.0284361703060523,0.0145063314092296,0.0185516517486482,0.0009074410163339,1
11,0.0331242641707197,0.82,0.0304280808334983,0.0366078076604618,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0167597765363128,0.0651085141903172,0.0139116603064421,0.0020358292866509,0.0505830940796035,0.0300856450314066,0.0,0
12,0.0796575564744049,1.0,0.0656202735872276,0.0613384035082339,0.0319004444444444,0.0,1.0,0.25,0.92,0.0,0.0,0.0726256983240223,0.0984974958263773,0.0119921579575359,0.0064158397596216,0.07495493970806,0.0648817869523893,0.0,1
13,0.0484001062849929,1.0,0.0435960184805861,0.0103029225060566,0.0763542222222222,0.0,0.75,0.17,0.75,0.0,0.0,0.0726256983240223,0.2487479131886477,0.0326467208764413,0.0032869056062327,0.0246597963069297,0.0431053914956608,0.0,1
14,0.1456046639367247,1.0,0.0,0.0,0.0,0.007357457091754,0.0,0.0,0.0,0.0533333333333333,0.008130081300813,0.0,0.0984974958263773,0.0158838030751468,0.0129565384803146,0.0145063314092296,0.0069924557046349,0.0018148820326678,0
15,0.3616110578402511,1.0,0.0328652963311056,0.0,0.0716311111111111,0.0488253335316197,0.5,0.0,0.5,0.1133333333333333,0.032520325203252,0.0307262569832402,0.2654424040066778,0.0393016923007767,0.027614378464787,0.0145063314092296,0.0788985546518853,0.0,1
16,0.1088092614978412,0.88,0.0,0.0,0.0,0.0590673482796287,0.0,0.0,0.0,0.1666666666666666,0.024390243902439,0.0,0.0984974958263773,0.0077278896435987,0.0049286569769656,0.0145063314092296,0.0561370336632274,0.0,0
17,0.0021577323907716,0.45,0.0105832901879033,0.0,0.0230666666666666,0.0,0.42,0.0,0.33,0.0,0.0,0.0223463687150838,0.0818030050083472,0.0050193724631063,0.0009580373113651,0.0145063314092296,0.0104641864730126,0.0,2
18,0.1044507365907093,1.0,0.0102845518425222,0.0040724953233769,0.0150377777777777,0.0,0.67,0.08,0.58,0.0,0.0,0.0251396648044692,0.4323873121869783,0.0339272434479435,0.0097454120548578,0.0185197497657831,0.0101688101111058,0.0027223230490018,1
19,0.1878876067707321,1.0,0.0081289456657144,0.0,0.0177173333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.0335195530726257,0.1318864774624374,0.0207797564266657,0.1631483880695037,0.0145063314092296,0.0080374629973059,0.0018148820326678,1
20,0.1059006025266841,1.0,0.0036028048369918,0.0,0.0078524444444444,0.0,0.67,0.0,0.67,0.0,0.0,0.0223463687150838,0.0651085141903172,0.0043979394923018,0.1774371481061552,0.0145063314092296,0.0035622590868051,0.0009074410163339,1
21,0.3344789777316136,1.0,0.1296901665328631,0.1449916280781379,0.019996,0.0048587941458563,1.0,0.92,1.0,0.22,0.048780487804878,0.2569832402234637,0.3739565943238732,0.0409680474623374,0.0217231033969621,0.1573946628789023,0.132848391882372,0.0,3
22,0.0069494841712028,0.64,0.0166375847096538,0.0,0.0362622222222222,0.0,1.0,0.0,1.0,0.0,0.0,0.047486033519553,0.0584307178631051,0.0465213160183811,0.0011298819821059,0.0145063314092296,0.016450346326264,0.0018148820326678,1
23,0.1995548003112932,0.82,0.0866310614061257,0.0847510809899107,0.0352795555555555,0.1691746287062811,1.0,0.08,0.92,0.22,0.1056910569105691,0.0363128491620111,0.2988313856427379,0.1868841366616273,0.0186559443270383,0.0980279851310103,0.2464380433463299,0.0,1
24,0.2819162175985683,1.0,0.0,0.0,0.0,0.0169494545816351,0.0,0.0,0.0,0.24,0.032520325203252,0.0,0.1986644407345576,0.028049851857635,0.0216867189198364,0.0145063314092296,0.0161085968836483,0.0009074410163339,0
25,0.0089155464907573,1.0,0.0081485216938076,0.0,0.01776,0.0,1.0,0.0,1.0,0.0,0.0,0.0335195530726257,0.0984974958263773,0.0042449471111647,0.0021334653295851,0.0145063314092296,0.0080568187179496,0.0,1
26,0.0848583794479271,1.0,0.0020799529849058,0.0025023766444846,0.0,0.0051941979595313,0.17,0.17,0.0,0.1666666666666666,0.040650406504065,0.0055865921787709,0.0550918196994991,0.0175503553918379,0.0127107469405955,0.0169724077487986,0.006993060570905,0.0018148820326678,0
