,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,ONEOFFPURCHASES_TOTAL,TOTAL_OWED,PCT_PAID,PAID_FULL,TENURE_6.0,TENURE_7.0,TENURE_8.0,TENURE_9.0,TENURE_10.0,TENURE_11.0,TENURE_12.0
0,0.0021477550445987374,0.82,0.0019453677917648953,0.0,0.004240000000000001,0.0,0.17,0.0,0.08,0.0,0.0,0.00558659217877095,0.0317195325542571,0.003978590530087056,0.0018258987064009584,0.014506331409229654,0.0019234747389699615,0.0018148820326678765,True,0,0,0,0,0,0,1
1,0.16816921999208115,0.91,0.0,0.0,0.0,0.13668500957099497,0.0,0.0,0.0,0.16666666666666666,0.032520325203252036,0.0,0.2320534223706177,0.08089334144035228,0.014034723093842762,0.014506331409229654,0.12990410450153575,0.0,False,0,0,0,0,0,0,1
2,0.13102618580759268,1.0,0.015766247542545745,0.018968260296237233,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0335195530726257,0.24874791318864775,0.012264429192523562,0.008209803888977086,0.033199431835353135,0.015588815135528353,0.0,False,0,0,0,0,0,0,1
3,0.08752075550565716,0.64,0.030567152199744003,0.0367751234321813,0.0,0.00436576539001778,0.08,0.08,0.0,0.05333333333333333,0.008130081300813009,0.002793296089385475,0.24874791318864775,0.0,0.0,0.050747982713288405,0.03437233228772118,0.0,False,0,0,0,0,0,0,1
4,0.04293987231097393,1.0,0.00032626713488719417,0.00039252966972308257,0.0,0.0,0.08,0.08,0.0,0.0,0.0,0.002793296089385475,0.03839732888146912,0.013373623955767851,0.003203797178266007,0.014893166913475779,0.000322595344062048,0.038112522686025406,True,0,0,0,0,0,0,1
5,0.09503842328523553,1.0,0.02718784035014989,0.0,0.059256888888888894,0.0,0.67,0.0,0.58,0.0,0.0,0.0223463687150838,0.05843071786310518,0.027602901177173848,0.03150594696425853,0.014506331409229654,0.026881870020690462,0.0009074410163339383,True,0,0,0,0,0,0,1
6,0.032938895581295945,1.0,0.14459771975977767,0.15707638995369377,0.03059466666666667,0.0,1.0,1.0,1.0,0.0,0.0,0.1787709497206704,0.4490818030050084,0.12527848162159305,0.0025923285554930674,0.16930411919368976,0.14297042566858895,0.0,False,0,0,0,0,0,0,1
7,0.09576414393844714,1.0,0.008894857764862131,0.0,0.019386666666666667,0.0,1.0,0.0,1.0,0.0,0.0,0.0335195530726257,0.07512520868113524,0.013388213435412374,0.006963177469475321,0.014506331409229654,0.008794755567491585,0.0009074410163339383,True,0,0,0,0,0,0,1
8,0.053296357638498694,1.0,0.017567242127123055,0.016228403201570117,0.008888888888888889,0.0,0.33,0.08,0.25,0.0,0.0,0.013966480446927375,0.2320534223706177,0.013569793310447564,0.004082914202916228,0.030499320015715193,0.01736954143475086,0.0,False,0,0,0,0,0,0,1
9,0.007993954778466157,0.55,0.02613399750446425,0.03144162654481891,0.0,0.0,0.17,0.17,0.0,0.0,0.0,0.008379888268156424,0.36560934891485813,0.022964038115607033,0.00131272052363283,0.04549185529934419,0.025839887059370042,0.0,False,0,0,0,0,0,0,1
